ID,Marital_Status,Sex,DV,age,Years_Education,hours_worked,Occupation,income,capital_wealth
1,Married,Male,0,38,18,26,Retired,24337.7,8.09
2,Married,Female,1,49,8,34,Professional,62146.72,32003.31
3,Married,Female,1,48,13,20,Professional,59274.35,21619.98
4,Married,Female,0,54,15,37,Other,43513.83,49590.15
5,Married,Female,1,58,16,27,Professional,61426.78,100007
6,Married,Female,1,65,14,9,Retired,43797.03,100002.65
7,Married,Male,1,55,11,40,Other,38922.89,100003.05
8,Married,Female,1,53,11,27,Administrative,27755.14,68700.34
9,Married,Female,0,46,14,39,Other,41745.07,15930.55
10,Married,Male,1,57,10,24,Other,41117.37,94682.43
11,Married,Female,0,45,13,32,Trade,41306.85,7488.99
12,Married,Female,0,43,13,34,Professional,31976.38,4309.94
13,Married,Female,1,63,18,24,Unemployed,3844.25,1000.02
14,Married,Female,0,43,14,20,Trade,47017.96,3147.6
15,,Female,0,37,13,20,Trade,39504.11,3144.82
16,Married,Female,1,75,11,10,Trade,51398.93,93468.25
17,Married,Female,0,49,10,29,Other,46671.5,32002.51
18,Married,Female,0,45,14,32,Professional,51366.19,15930.51
19,Married,Male,0,48,13,36,Professional,59317.71,21617.94
20,Married,Female,0,44,8,28,Trade,10887.87,7085.23
21,Married,Male,1,45,11,68,Trade,53895.14,37094.06
22,Married,Male,1,58,12,23,Administrative,35981.93,94683.26
23,Married,Female,0,42,8,29,Trade,21539.84,2740.26
24,Married,Male,0,36,17,30,Administrative,52253.84,3.88
25,Married,Female,0,32,8,28,Unemployed,3811.05,0.03
26,Married,Female,0,42,13,32,Professional,11179.5,15928.35
27,Married,Male,1,55,11,65,Administrative,30040.89,100002.92
28,Married,Male,1,51,13,55,Trade,45733.33,100004.15
29,Married,Female,0,42,12,32,Retired,12927.01,15932.81
30,Married,Male,0,41,11,32,Administrative,44458.43,37089.44
31,Married,Female,1,42,11,29,Professional,28665.34,9547.04
32,Married,Male,1,,12,61,Other,23568.57,37093.92
33,Married,Female,1,43,12,24,Administrative,19311.11,7088.03
34,Married,Female,1,74,16,11,Professional,63917.43,93463.56
35,Married,Female,1,55,14,28,Retired,29534.28,90308.79
36,Married,Male,0,41,13,26,Trade,44538.92,2.15
37,Married,Female,0,46,9,30,Other,39162.71,12106.92
38,Married,Male,1,56,17,31,Administrative,32496.44,92244.3
39,Married,Male,0,49,11,31,Trade,42294.59,32001.95
40,Married,Female,1,54,11,39,Retired,42798.05,68704.9
41,Married,Female,0,41,16,28,Other,37398.18,9548.2
42,Married,Female,1,59,10,31,Trade,46932.57,94683.77
43,Married,Female,0,42,15,34,Administrative,33769,9548.11
44,Married,Female,1,56,11,35,Other,37681.18,92244.19
45,Married,Female,1,,11,29,Other,39210.39,100006.47
46,Married,Female,1,56,13,30,Other,36063.53,90312.96
47,Married,Female,0,40,16,33,Other,13243,3147.29
48,Married,Male,0,47,9,24,Trade,49350.73,0.97
49,Married,Male,0,39,10,33,Trade,15225.91,3146.21
50,Married,Male,1,57,17,29,Professional,61073.35,97450.14
51,Married,Female,1,54,18,28,Retired,43375.8,77216.14
52,Married,Female,1,62,13,31,Professional,60424.77,93467.15
53,Married,Male,0,42,12,30,Administrative,20459.37,5.34
54,Married,Male,1,68,10,5,Professional,53228.59,93468.22
55,Married,Female,0,43,14,36,Professional,21579.2,11005.31
56,Married,Male,0,41,13,36,Administrative,19869.31,6471.42
57,Married,Male,1,39,14,66,Trade,11710.95,6467.12
58,Married,Female,0,29,12,24,Trade,18608.82,4.29
59,Married,Female,1,58,12,31,Professional,63903.25,94682.84
60,Married,Female,0,47,13,30,Administrative,30763.18,14565.4
61,Married,Male,0,45,12,27,Trade,47238.81,1.44
62,Married,Female,1,48,13,32,Professional,78072.79,21620.13
63,Married,Female,0,43,14,28,Other,31347.11,4313.97
64,Married,Male,0,47,9,33,Professional,55754.09,3144.41
65,Married,Female,0,43,12,29,Professional,13939.27,7090.57
66,Married,Female,0,40,14,35,Other,31831.75,9549.56
67,,Female,1,47,15,32,Trade,44441.8,7495.27
68,Married,Male,0,46,9,22,Trade,50445.06,3144.74
69,Married,Female,0,45,14,29,Trade,47743.47,7896.07
70,Married,Female,0,51,17,31,Administrative,38940.16,49338.39
71,Married,Female,1,55,11,42,Administrative,25660.76,92243.33
72,Married,Male,0,47,15,32,Other,42748.74,37094.03
73,Married,Female,0,48,14,28,Trade,54001.45,21617.3
74,Married,Female,1,56,13,33,Trade,47652.37,77017.22
75,Married,Female,1,51,15,28,Other,56181.31,51429.22
76,Married,Male,1,52,18,61,Professional,61589.99,100003.73
77,Married,Female,1,51,8,38,Administrative,27724.18,49336.14
78,Married,Male,1,56,10,32,Retired,25610.41,77019.79
79,Married,Male,0,43,10,29,Other,33305.59,4
80,Married,Female,1,53,14,21,Professional,67471.53,49589.61
81,Married,Female,0,42,10,33,Professional,34808.82,3143.28
82,Married,Male,1,51,9,59,Administrative,35194.65,100001.72
83,Married,Male,0,,9,32,Unemployed,3551.72,370.91
84,,Female,0,42,10,26,Unemployed,3866.01,52.97
85,Married,Female,1,58,13,34,Unemployed,3653.88,974.47
86,Married,Male,0,54,17,32,Trade,46158.13,75394.45
87,Married,Female,0,36,11,29,Other,32170.7,10592.45
88,Married,Male,1,57,14,33,Administrative,33495.73,97443.5
89,Married,Female,0,39,10,36,Other,16441.88,5299.43
90,Married,Male,0,40,11,34,Other,20389.97,4.48
91,Married,Female,1,53,11,28,Professional,58587.11,77218.03
92,Married,Female,0,49,12,23,Other,33180.53,52054.22
93,Married,Female,0,44,9,29,Administrative,27353.66,11003.57
94,Married,Female,1,64,9,33,Administrative,28953.5,100001.6
95,Married,Male,0,44,12,36,Unemployed,3605.05,64.7
96,Married,Male,0,49,13,29,Professional,69411.61,32003.24
97,Married,Female,1,65,11,13,Retired,20837.09,93467.52
98,Married,Female,1,58,15,31,Administrative,29142.26,94680.2
99,Married,Male,0,50,11,35,Other,29286.1,52054.9
100,Married,Male,0,46,14,30,Trade,44812.37,3.58
101,Married,Male,1,56,13,35,Trade,49650.81,92244.71
102,Married,Female,1,58,14,28,Trade,48742.24,94683.09
103,Married,Male,0,38,9,26,Retired,12365.97,3.79
104,Married,Male,0,49,9,24,Professional,60067.98,32005.51
105,,Female,1,56,16,26,Other,43588.5,92245.85
106,Married,Male,0,51,15,25,Other,37659.77,49335.2
107,Married,Female,0,39,16,33,Unemployed,3772.49,31.44
108,Married,Male,1,51,14,40,Other,37961.79,32167.09
109,Married,Female,1,56,18,,Trade,42634.94,77019.34
110,Married,Female,0,48,12,31,Other,43727.18,21612.49
111,Married,Male,1,53,13,67,Unemployed,3798.06,772.2
112,Married,Female,0,38,8,32,Retired,33422.25,15932.64
113,Married,Male,0,46,12,29,Professional,71843.36,5.71
114,Married,Female,0,38,14,23,Other,45717.2,15932.2
115,Married,Female,1,49,13,31,Unemployed,3908.26,197.05
116,Married,Female,0,37,10,28,Other,21805.73,10589.48
117,Married,Male,0,45,15,25,Professional,59298.89,6468.67
118,Married,Female,0,43,9,21,Retired,2041.93,3149.14
119,Married,Male,0,43,11,31,Retired,20884.13,6471.6
120,Married,Male,0,41,12,25,Professional,22763.77,6468.8
121,Married,Male,1,51,10,44,Trade,47584.11,100003.66
122,Married,Female,1,69,11,9,Trade,49727.09,100004.47
123,Married,Male,0,43,12,31,Administrative,41046.42,6475.23
124,Married,Female,0,48,12,37,Administrative,31668.99,21615.17
125,Married,Female,1,55,17,29,Professional,68009.84,92242.33
126,Married,Female,1,56,13,30,Professional,77411.79,90308.67
127,Married,Male,1,52,18,48,Unemployed,3794.43,1000.02
128,Married,Female,0,42,15,27,Professional,20796.18,5301.49
129,Married,Female,1,,10,32,Professional,75132.96,49338.75
130,Married,Female,1,57,14,33,Other,42597.77,97447.74
131,Married,Female,0,43,13,28,Professional,17282.18,7084.51
132,Married,Female,1,55,13,25,Other,32427.08,77017.16
133,Married,Female,1,55,15,24,Other,35309.48,90312.7
134,Married,Female,0,51,14,32,Unemployed,3714.17,493.34
135,Married,Female,0,47,17,27,Professional,64789.21,14568.62
136,Married,Male,0,51,15,28,Trade,45002.65,51436.4
137,Married,Female,0,40,16,40,Administrative,44360.63,7491.69
138,Married,Female,1,50,14,34,Professional,64503.73,32003.51
139,Married,Male,1,42,12,51,Administrative,34085.95,37091.19
140,Married,Female,0,38,9,31,Administrative,11846.15,10587.44
